time, src, dst, sport, dport, size, curr_rate
100000, 0, 1, 10000, 100, 3473940480, 2880000000000
100000, 0, 1, 10001, 100, 3473940480, 2880000000000
100000, 1, 0, 10000, 100, 3473940480, 2880000000000
100000, 1, 0, 10001, 100, 3473940480, 2880000000000
100000, 2, 3, 10000, 100, 3473940480, 2880000000000
100000, 2, 3, 10001, 100, 3473940480, 2880000000000
100000, 3, 2, 10000, 100, 3473940480, 2880000000000
100000, 3, 2, 10001, 100, 3473940480, 2880000000000
100000, 4, 5, 10000, 100, 3473940480, 2880000000000
100000, 4, 5, 10001, 100, 3473940480, 2880000000000
100000, 5, 4, 10000, 100, 3473940480, 2880000000000
100000, 5, 4, 10001, 100, 3473940480, 2880000000000
100000, 6, 7, 10000, 100, 3473940480, 2880000000000
100000, 6, 7, 10001, 100, 3473940480, 2880000000000
100000, 7, 6, 10000, 100, 3473940480, 2880000000000
100000, 7, 6, 10001, 100, 3473940480, 2880000000000
100000, 8, 9, 10000, 100, 3473940480, 2880000000000
100000, 8, 9, 10001, 100, 3473940480, 2880000000000
100000, 9, 8, 10000, 100, 3473940480, 2880000000000
100000, 9, 8, 10001, 100, 3473940480, 2880000000000
100000, 10, 11, 10000, 100, 3473940480, 2880000000000
100000, 10, 11, 10001, 100, 3473940480, 2880000000000
100000, 11, 10, 10000, 100, 3473940480, 2880000000000
100000, 11, 10, 10001, 100, 3473940480, 2880000000000
100000, 12, 13, 10000, 100, 3473940480, 2880000000000
100000, 12, 13, 10001, 100, 3473940480, 2880000000000
100000, 13, 12, 10000, 100, 3473940480, 2880000000000
100000, 13, 12, 10001, 100, 3473940480, 2880000000000
100000, 14, 15, 10000, 100, 3473940480, 2880000000000
100000, 14, 15, 10001, 100, 3473940480, 2880000000000
100000, 15, 14, 10000, 100, 3473940480, 2880000000000
100000, 15, 14, 10001, 100, 3473940480, 2880000000000
100000, 16, 17, 10000, 100, 3473940480, 2880000000000
100000, 16, 17, 10001, 100, 3473940480, 2880000000000
100000, 17, 16, 10000, 100, 3473940480, 2880000000000
100000, 17, 16, 10001, 100, 3473940480, 2880000000000
100000, 18, 19, 10000, 100, 3473940480, 2880000000000
100000, 18, 19, 10001, 100, 3473940480, 2880000000000
100000, 19, 18, 10000, 100, 3473940480, 2880000000000
100000, 19, 18, 10001, 100, 3473940480, 2880000000000
100000, 20, 21, 10000, 100, 3473940480, 2880000000000
100000, 20, 21, 10001, 100, 3473940480, 2880000000000
100000, 21, 20, 10000, 100, 3473940480, 2880000000000
100000, 21, 20, 10001, 100, 3473940480, 2880000000000
100000, 22, 23, 10000, 100, 3473940480, 2880000000000
100000, 22, 23, 10001, 100, 3473940480, 2880000000000
100000, 23, 22, 10000, 100, 3473940480, 2880000000000
100000, 23, 22, 10001, 100, 3473940480, 2880000000000
100000, 24, 25, 10000, 100, 3473940480, 2880000000000
100000, 24, 25, 10001, 100, 3473940480, 2880000000000
100000, 25, 24, 10000, 100, 3473940480, 2880000000000
100000, 25, 24, 10001, 100, 3473940480, 2880000000000
100000, 26, 27, 10000, 100, 3473940480, 2880000000000
100000, 26, 27, 10001, 100, 3473940480, 2880000000000
100000, 27, 26, 10000, 100, 3473940480, 2880000000000
100000, 27, 26, 10001, 100, 3473940480, 2880000000000
100000, 28, 29, 10000, 100, 3473940480, 2880000000000
100000, 28, 29, 10001, 100, 3473940480, 2880000000000
100000, 29, 28, 10000, 100, 3473940480, 2880000000000
100000, 29, 28, 10001, 100, 3473940480, 2880000000000
100000, 30, 31, 10000, 100, 3473940480, 2880000000000
100000, 30, 31, 10001, 100, 3473940480, 2880000000000
100000, 31, 30, 10000, 100, 3473940480, 2880000000000
100000, 31, 30, 10001, 100, 3473940480, 2880000000000
100000, 32, 33, 10000, 100, 3473940480, 2880000000000
100000, 32, 33, 10001, 100, 3473940480, 2880000000000
100000, 33, 32, 10000, 100, 3473940480, 2880000000000
100000, 33, 32, 10001, 100, 3473940480, 2880000000000
100000, 34, 35, 10000, 100, 3473940480, 2880000000000
100000, 34, 35, 10001, 100, 3473940480, 2880000000000
100000, 35, 34, 10000, 100, 3473940480, 2880000000000
100000, 35, 34, 10001, 100, 3473940480, 2880000000000
100000, 36, 37, 10000, 100, 3473940480, 2880000000000
100000, 36, 37, 10001, 100, 3473940480, 2880000000000
100000, 37, 36, 10000, 100, 3473940480, 2880000000000
100000, 37, 36, 10001, 100, 3473940480, 2880000000000
100000, 38, 39, 10000, 100, 3473940480, 2880000000000
100000, 38, 39, 10001, 100, 3473940480, 2880000000000
100000, 39, 38, 10000, 100, 3473940480, 2880000000000
100000, 39, 38, 10001, 100, 3473940480, 2880000000000
100000, 40, 41, 10000, 100, 3473940480, 2880000000000
100000, 40, 41, 10001, 100, 3473940480, 2880000000000
100000, 41, 40, 10000, 100, 3473940480, 2880000000000
100000, 41, 40, 10001, 100, 3473940480, 2880000000000
100000, 42, 43, 10000, 100, 3473940480, 2880000000000
100000, 42, 43, 10001, 100, 3473940480, 2880000000000
100000, 43, 42, 10000, 100, 3473940480, 2880000000000
100000, 43, 42, 10001, 100, 3473940480, 2880000000000
100000, 44, 45, 10000, 100, 3473940480, 2880000000000
100000, 44, 45, 10001, 100, 3473940480, 2880000000000
100000, 45, 44, 10000, 100, 3473940480, 2880000000000
100000, 45, 44, 10001, 100, 3473940480, 2880000000000
100000, 46, 47, 10000, 100, 3473940480, 2880000000000
100000, 46, 47, 10001, 100, 3473940480, 2880000000000
100000, 47, 46, 10000, 100, 3473940480, 2880000000000
100000, 47, 46, 10001, 100, 3473940480, 2880000000000
100000, 48, 49, 10000, 100, 3473940480, 2880000000000
100000, 48, 49, 10001, 100, 3473940480, 2880000000000
100000, 49, 48, 10000, 100, 3473940480, 2880000000000
100000, 49, 48, 10001, 100, 3473940480, 2880000000000
100000, 50, 51, 10000, 100, 3473940480, 2880000000000
100000, 50, 51, 10001, 100, 3473940480, 2880000000000
100000, 51, 50, 10000, 100, 3473940480, 2880000000000
100000, 51, 50, 10001, 100, 3473940480, 2880000000000
100000, 52, 53, 10000, 100, 3473940480, 2880000000000
100000, 52, 53, 10001, 100, 3473940480, 2880000000000
100000, 53, 52, 10000, 100, 3473940480, 2880000000000
100000, 53, 52, 10001, 100, 3473940480, 2880000000000
100000, 54, 55, 10000, 100, 3473940480, 2880000000000
100000, 54, 55, 10001, 100, 3473940480, 2880000000000
100000, 55, 54, 10000, 100, 3473940480, 2880000000000
100000, 55, 54, 10001, 100, 3473940480, 2880000000000
100000, 56, 57, 10000, 100, 3473940480, 2880000000000
100000, 56, 57, 10001, 100, 3473940480, 2880000000000
100000, 57, 56, 10000, 100, 3473940480, 2880000000000
100000, 57, 56, 10001, 100, 3473940480, 2880000000000
100000, 58, 59, 10000, 100, 3473940480, 2880000000000
100000, 58, 59, 10001, 100, 3473940480, 2880000000000
100000, 59, 58, 10000, 100, 3473940480, 2880000000000
100000, 59, 58, 10001, 100, 3473940480, 2880000000000
100000, 60, 61, 10000, 100, 3473940480, 2880000000000
100000, 60, 61, 10001, 100, 3473940480, 2880000000000
100000, 61, 60, 10000, 100, 3473940480, 2880000000000
100000, 61, 60, 10001, 100, 3473940480, 2880000000000
100000, 62, 63, 10000, 100, 3473940480, 2880000000000
100000, 62, 63, 10001, 100, 3473940480, 2880000000000
100000, 63, 62, 10000, 100, 3473940480, 2880000000000
100000, 63, 62, 10001, 100, 3473940480, 2880000000000
100000, 64, 65, 10000, 100, 3473940480, 2880000000000
100000, 64, 65, 10001, 100, 3473940480, 2880000000000
100000, 65, 64, 10000, 100, 3473940480, 2880000000000
100000, 65, 64, 10001, 100, 3473940480, 2880000000000
100000, 66, 67, 10000, 100, 3473940480, 2880000000000
100000, 66, 67, 10001, 100, 3473940480, 2880000000000
100000, 67, 66, 10000, 100, 3473940480, 2880000000000
100000, 67, 66, 10001, 100, 3473940480, 2880000000000
100000, 68, 69, 10000, 100, 3473940480, 2880000000000
100000, 68, 69, 10001, 100, 3473940480, 2880000000000
100000, 69, 68, 10000, 100, 3473940480, 2880000000000
100000, 69, 68, 10001, 100, 3473940480, 2880000000000
100000, 70, 71, 10000, 100, 3473940480, 2880000000000
100000, 70, 71, 10001, 100, 3473940480, 2880000000000
100000, 71, 70, 10000, 100, 3473940480, 2880000000000
100000, 71, 70, 10001, 100, 3473940480, 2880000000000
100000, 72, 73, 10000, 100, 3473940480, 2880000000000
100000, 72, 73, 10001, 100, 3473940480, 2880000000000
100000, 73, 72, 10000, 100, 3473940480, 2880000000000
100000, 73, 72, 10001, 100, 3473940480, 2880000000000
100000, 74, 75, 10000, 100, 3473940480, 2880000000000
100000, 74, 75, 10001, 100, 3473940480, 2880000000000
100000, 75, 74, 10000, 100, 3473940480, 2880000000000
100000, 75, 74, 10001, 100, 3473940480, 2880000000000
100000, 76, 77, 10000, 100, 3473940480, 2880000000000
100000, 76, 77, 10001, 100, 3473940480, 2880000000000
100000, 77, 76, 10000, 100, 3473940480, 2880000000000
100000, 77, 76, 10001, 100, 3473940480, 2880000000000
100000, 78, 79, 10000, 100, 3473940480, 2880000000000
100000, 78, 79, 10001, 100, 3473940480, 2880000000000
100000, 79, 78, 10000, 100, 3473940480, 2880000000000
100000, 79, 78, 10001, 100, 3473940480, 2880000000000
100000, 80, 81, 10000, 100, 3473940480, 2880000000000
100000, 80, 81, 10001, 100, 3473940480, 2880000000000
100000, 81, 80, 10000, 100, 3473940480, 2880000000000
100000, 81, 80, 10001, 100, 3473940480, 2880000000000
100000, 82, 83, 10000, 100, 3473940480, 2880000000000
100000, 82, 83, 10001, 100, 3473940480, 2880000000000
100000, 83, 82, 10000, 100, 3473940480, 2880000000000
100000, 83, 82, 10001, 100, 3473940480, 2880000000000
100000, 84, 85, 10000, 100, 3473940480, 2880000000000
100000, 84, 85, 10001, 100, 3473940480, 2880000000000
100000, 85, 84, 10000, 100, 3473940480, 2880000000000
100000, 85, 84, 10001, 100, 3473940480, 2880000000000
100000, 86, 87, 10000, 100, 3473940480, 2880000000000
100000, 86, 87, 10001, 100, 3473940480, 2880000000000
100000, 87, 86, 10000, 100, 3473940480, 2880000000000
100000, 87, 86, 10001, 100, 3473940480, 2880000000000
100000, 88, 89, 10000, 100, 3473940480, 2880000000000
100000, 88, 89, 10001, 100, 3473940480, 2880000000000
100000, 89, 88, 10000, 100, 3473940480, 2880000000000
100000, 89, 88, 10001, 100, 3473940480, 2880000000000
100000, 90, 91, 10000, 100, 3473940480, 2880000000000
100000, 90, 91, 10001, 100, 3473940480, 2880000000000
100000, 91, 90, 10000, 100, 3473940480, 2880000000000
100000, 91, 90, 10001, 100, 3473940480, 2880000000000
100000, 92, 93, 10000, 100, 3473940480, 2880000000000
100000, 92, 93, 10001, 100, 3473940480, 2880000000000
100000, 93, 92, 10000, 100, 3473940480, 2880000000000
100000, 93, 92, 10001, 100, 3473940480, 2880000000000
100000, 94, 95, 10000, 100, 3473940480, 2880000000000
100000, 94, 95, 10001, 100, 3473940480, 2880000000000
100000, 95, 94, 10000, 100, 3473940480, 2880000000000
100000, 95, 94, 10001, 100, 3473940480, 2880000000000
100000, 96, 97, 10000, 100, 3473940480, 2880000000000
100000, 96, 97, 10001, 100, 3473940480, 2880000000000
100000, 97, 96, 10000, 100, 3473940480, 2880000000000
100000, 97, 96, 10001, 100, 3473940480, 2880000000000
100000, 98, 99, 10000, 100, 3473940480, 2880000000000
100000, 98, 99, 10001, 100, 3473940480, 2880000000000
100000, 99, 98, 10000, 100, 3473940480, 2880000000000
100000, 99, 98, 10001, 100, 3473940480, 2880000000000
100000, 100, 101, 10000, 100, 3473940480, 2880000000000
100000, 100, 101, 10001, 100, 3473940480, 2880000000000
100000, 101, 100, 10000, 100, 3473940480, 2880000000000
100000, 101, 100, 10001, 100, 3473940480, 2880000000000
100000, 102, 103, 10000, 100, 3473940480, 2880000000000
100000, 102, 103, 10001, 100, 3473940480, 2880000000000
100000, 103, 102, 10000, 100, 3473940480, 2880000000000
100000, 103, 102, 10001, 100, 3473940480, 2880000000000
100000, 104, 105, 10000, 100, 3473940480, 2880000000000
100000, 104, 105, 10001, 100, 3473940480, 2880000000000
100000, 105, 104, 10000, 100, 3473940480, 2880000000000
100000, 105, 104, 10001, 100, 3473940480, 2880000000000
100000, 106, 107, 10000, 100, 3473940480, 2880000000000
100000, 106, 107, 10001, 100, 3473940480, 2880000000000
100000, 107, 106, 10000, 100, 3473940480, 2880000000000
100000, 107, 106, 10001, 100, 3473940480, 2880000000000
100000, 108, 109, 10000, 100, 3473940480, 2880000000000
100000, 108, 109, 10001, 100, 3473940480, 2880000000000
100000, 109, 108, 10000, 100, 3473940480, 2880000000000
100000, 109, 108, 10001, 100, 3473940480, 2880000000000
100000, 110, 111, 10000, 100, 3473940480, 2880000000000
100000, 110, 111, 10001, 100, 3473940480, 2880000000000
100000, 111, 110, 10000, 100, 3473940480, 2880000000000
100000, 111, 110, 10001, 100, 3473940480, 2880000000000
100000, 112, 113, 10000, 100, 3473940480, 2880000000000
100000, 112, 113, 10001, 100, 3473940480, 2880000000000
100000, 113, 112, 10000, 100, 3473940480, 2880000000000
100000, 113, 112, 10001, 100, 3473940480, 2880000000000
100000, 114, 115, 10000, 100, 3473940480, 2880000000000
100000, 114, 115, 10001, 100, 3473940480, 2880000000000
100000, 115, 114, 10000, 100, 3473940480, 2880000000000
100000, 115, 114, 10001, 100, 3473940480, 2880000000000
100000, 116, 117, 10000, 100, 3473940480, 2880000000000
100000, 116, 117, 10001, 100, 3473940480, 2880000000000
100000, 117, 116, 10000, 100, 3473940480, 2880000000000
100000, 117, 116, 10001, 100, 3473940480, 2880000000000
100000, 118, 119, 10000, 100, 3473940480, 2880000000000
100000, 118, 119, 10001, 100, 3473940480, 2880000000000
100000, 119, 118, 10000, 100, 3473940480, 2880000000000
100000, 119, 118, 10001, 100, 3473940480, 2880000000000
100000, 120, 121, 10000, 100, 3473940480, 2880000000000
100000, 120, 121, 10001, 100, 3473940480, 2880000000000
100000, 121, 120, 10000, 100, 3473940480, 2880000000000
100000, 121, 120, 10001, 100, 3473940480, 2880000000000
100000, 122, 123, 10000, 100, 3473940480, 2880000000000
100000, 122, 123, 10001, 100, 3473940480, 2880000000000
100000, 123, 122, 10000, 100, 3473940480, 2880000000000
100000, 123, 122, 10001, 100, 3473940480, 2880000000000
100000, 124, 125, 10000, 100, 3473940480, 2880000000000
100000, 124, 125, 10001, 100, 3473940480, 2880000000000
100000, 125, 124, 10000, 100, 3473940480, 2880000000000
100000, 125, 124, 10001, 100, 3473940480, 2880000000000
100000, 126, 127, 10000, 100, 3473940480, 2880000000000
100000, 126, 127, 10001, 100, 3473940480, 2880000000000
100000, 127, 126, 10000, 100, 3473940480, 2880000000000
100000, 127, 126, 10001, 100, 3473940480, 2880000000000
19600000, 0, 1, 10021, 100, 5242880, 2880000000000
19600000, 0, 1, 10020, 100, 5242880, 2880000000000
19600000, 1, 0, 10021, 100, 5242880, 2880000000000
19600000, 1, 0, 10020, 100, 5242880, 2880000000000
19600000, 2, 3, 10021, 100, 5242880, 2880000000000
19600000, 2, 3, 10020, 100, 5242880, 2880000000000
19600000, 3, 2, 10021, 100, 5242880, 2880000000000
19600000, 3, 2, 10020, 100, 5242880, 2880000000000
19600000, 4, 5, 10021, 100, 5242880, 2880000000000
19600000, 4, 5, 10020, 100, 5242880, 2880000000000
19600000, 5, 4, 10021, 100, 5242880, 2880000000000
19600000, 5, 4, 10020, 100, 5242880, 2880000000000
19600000, 6, 7, 10021, 100, 5242880, 2880000000000
19600000, 6, 7, 10020, 100, 5242880, 2880000000000
19600000, 7, 6, 10021, 100, 5242880, 2880000000000
19600000, 7, 6, 10020, 100, 5242880, 2880000000000
19600000, 8, 9, 10021, 100, 5242880, 2880000000000
19600000, 8, 9, 10020, 100, 5242880, 2880000000000
19600000, 9, 8, 10021, 100, 5242880, 2880000000000
19600000, 9, 8, 10020, 100, 5242880, 2880000000000
19600000, 10, 11, 10021, 100, 5242880, 2880000000000
19600000, 10, 11, 10020, 100, 5242880, 2880000000000
19600000, 11, 10, 10021, 100, 5242880, 2880000000000
19600000, 11, 10, 10020, 100, 5242880, 2880000000000
19600000, 12, 13, 10021, 100, 5242880, 2880000000000
19600000, 12, 13, 10020, 100, 5242880, 2880000000000
19600000, 13, 12, 10021, 100, 5242880, 2880000000000
19600000, 13, 12, 10020, 100, 5242880, 2880000000000
19600000, 14, 15, 10021, 100, 5242880, 2880000000000
19600000, 14, 15, 10020, 100, 5242880, 2880000000000
19600000, 15, 14, 10021, 100, 5242880, 2880000000000
19600000, 15, 14, 10020, 100, 5242880, 2880000000000
19600000, 16, 17, 10021, 100, 5242880, 2880000000000
19600000, 16, 17, 10020, 100, 5242880, 2880000000000
19600000, 17, 16, 10021, 100, 5242880, 2880000000000
19600000, 17, 16, 10020, 100, 5242880, 2880000000000
19600000, 18, 19, 10021, 100, 5242880, 2880000000000
19600000, 18, 19, 10020, 100, 5242880, 2880000000000
19600000, 19, 18, 10021, 100, 5242880, 2880000000000
19600000, 19, 18, 10020, 100, 5242880, 2880000000000
19600000, 20, 21, 10021, 100, 5242880, 2880000000000
19600000, 20, 21, 10020, 100, 5242880, 2880000000000
19600000, 21, 20, 10021, 100, 5242880, 2880000000000
19600000, 21, 20, 10020, 100, 5242880, 2880000000000
19600000, 22, 23, 10021, 100, 5242880, 2880000000000
19600000, 22, 23, 10020, 100, 5242880, 2880000000000
19600000, 23, 22, 10021, 100, 5242880, 2880000000000
19600000, 23, 22, 10020, 100, 5242880, 2880000000000
19600000, 24, 25, 10021, 100, 5242880, 2880000000000
19600000, 24, 25, 10020, 100, 5242880, 2880000000000
19600000, 25, 24, 10021, 100, 5242880, 2880000000000
19600000, 25, 24, 10020, 100, 5242880, 2880000000000
19600000, 26, 27, 10021, 100, 5242880, 2880000000000
19600000, 26, 27, 10020, 100, 5242880, 2880000000000
19600000, 27, 26, 10021, 100, 5242880, 2880000000000
19600000, 27, 26, 10020, 100, 5242880, 2880000000000
19600000, 28, 29, 10021, 100, 5242880, 2880000000000
19600000, 28, 29, 10020, 100, 5242880, 2880000000000
19600000, 29, 28, 10021, 100, 5242880, 2880000000000
19600000, 29, 28, 10020, 100, 5242880, 2880000000000
19600000, 30, 31, 10021, 100, 5242880, 2880000000000
19600000, 30, 31, 10020, 100, 5242880, 2880000000000
19600000, 31, 30, 10021, 100, 5242880, 2880000000000
19600000, 31, 30, 10020, 100, 5242880, 2880000000000
19600000, 32, 33, 10021, 100, 5242880, 2880000000000
19600000, 32, 33, 10020, 100, 5242880, 2880000000000
19600000, 33, 32, 10021, 100, 5242880, 2880000000000
19600000, 33, 32, 10020, 100, 5242880, 2880000000000
19600000, 34, 35, 10021, 100, 5242880, 2880000000000
19600000, 34, 35, 10020, 100, 5242880, 2880000000000
19600000, 35, 34, 10021, 100, 5242880, 2880000000000
19600000, 35, 34, 10020, 100, 5242880, 2880000000000
19600000, 36, 37, 10021, 100, 5242880, 2880000000000
19600000, 36, 37, 10020, 100, 5242880, 2880000000000
19600000, 37, 36, 10021, 100, 5242880, 2880000000000
19600000, 37, 36, 10020, 100, 5242880, 2880000000000
19600000, 38, 39, 10021, 100, 5242880, 2880000000000
19600000, 38, 39, 10020, 100, 5242880, 2880000000000
19600000, 39, 38, 10021, 100, 5242880, 2880000000000
19600000, 39, 38, 10020, 100, 5242880, 2880000000000
19600000, 40, 41, 10021, 100, 5242880, 2880000000000
19600000, 40, 41, 10020, 100, 5242880, 2880000000000
19600000, 41, 40, 10021, 100, 5242880, 2880000000000
19600000, 41, 40, 10020, 100, 5242880, 2880000000000
19600000, 42, 43, 10021, 100, 5242880, 2880000000000
19600000, 42, 43, 10020, 100, 5242880, 2880000000000
19600000, 43, 42, 10021, 100, 5242880, 2880000000000
19600000, 43, 42, 10020, 100, 5242880, 2880000000000
19600000, 44, 45, 10021, 100, 5242880, 2880000000000
19600000, 44, 45, 10020, 100, 5242880, 2880000000000
19600000, 45, 44, 10021, 100, 5242880, 2880000000000
19600000, 45, 44, 10020, 100, 5242880, 2880000000000
19600000, 46, 47, 10021, 100, 5242880, 2880000000000
19600000, 46, 47, 10020, 100, 5242880, 2880000000000
19600000, 47, 46, 10021, 100, 5242880, 2880000000000
19600000, 47, 46, 10020, 100, 5242880, 2880000000000
19600000, 48, 49, 10021, 100, 5242880, 2880000000000
19600000, 48, 49, 10020, 100, 5242880, 2880000000000
19600000, 49, 48, 10021, 100, 5242880, 2880000000000
19600000, 49, 48, 10020, 100, 5242880, 2880000000000
19600000, 50, 51, 10021, 100, 5242880, 2880000000000
19600000, 50, 51, 10020, 100, 5242880, 2880000000000
19600000, 51, 50, 10021, 100, 5242880, 2880000000000
19600000, 51, 50, 10020, 100, 5242880, 2880000000000
19600000, 52, 53, 10021, 100, 5242880, 2880000000000
19600000, 52, 53, 10020, 100, 5242880, 2880000000000
19600000, 53, 52, 10021, 100, 5242880, 2880000000000
19600000, 53, 52, 10020, 100, 5242880, 2880000000000
19600000, 54, 55, 10021, 100, 5242880, 2880000000000
19600000, 54, 55, 10020, 100, 5242880, 2880000000000
19600000, 55, 54, 10021, 100, 5242880, 2880000000000
19600000, 55, 54, 10020, 100, 5242880, 2880000000000
19600000, 56, 57, 10021, 100, 5242880, 2880000000000
19600000, 56, 57, 10020, 100, 5242880, 2880000000000
19600000, 57, 56, 10021, 100, 5242880, 2880000000000
19600000, 57, 56, 10020, 100, 5242880, 2880000000000
19600000, 58, 59, 10021, 100, 5242880, 2880000000000
19600000, 58, 59, 10020, 100, 5242880, 2880000000000
19600000, 59, 58, 10021, 100, 5242880, 2880000000000
19600000, 59, 58, 10020, 100, 5242880, 2880000000000
19600000, 60, 61, 10021, 100, 5242880, 2880000000000
19600000, 60, 61, 10020, 100, 5242880, 2880000000000
19600000, 61, 60, 10021, 100, 5242880, 2880000000000
19600000, 61, 60, 10020, 100, 5242880, 2880000000000
19600000, 62, 63, 10021, 100, 5242880, 2880000000000
19600000, 62, 63, 10020, 100, 5242880, 2880000000000
19600000, 63, 62, 10021, 100, 5242880, 2880000000000
19600000, 63, 62, 10020, 100, 5242880, 2880000000000
19600000, 64, 65, 10021, 100, 5242880, 2880000000000
19600000, 64, 65, 10020, 100, 5242880, 2880000000000
19600000, 65, 64, 10021, 100, 5242880, 2880000000000
19600000, 65, 64, 10020, 100, 5242880, 2880000000000
19600000, 66, 67, 10021, 100, 5242880, 2880000000000
19600000, 66, 67, 10020, 100, 5242880, 2880000000000
19600000, 67, 66, 10021, 100, 5242880, 2880000000000
19600000, 67, 66, 10020, 100, 5242880, 2880000000000
19600000, 68, 69, 10021, 100, 5242880, 2880000000000
19600000, 68, 69, 10020, 100, 5242880, 2880000000000
19600000, 69, 68, 10021, 100, 5242880, 2880000000000
19600000, 69, 68, 10020, 100, 5242880, 2880000000000
19600000, 70, 71, 10021, 100, 5242880, 2880000000000
19600000, 70, 71, 10020, 100, 5242880, 2880000000000
19600000, 71, 70, 10021, 100, 5242880, 2880000000000
19600000, 71, 70, 10020, 100, 5242880, 2880000000000
19600000, 72, 73, 10021, 100, 5242880, 2880000000000
19600000, 72, 73, 10020, 100, 5242880, 2880000000000
19600000, 73, 72, 10021, 100, 5242880, 2880000000000
19600000, 73, 72, 10020, 100, 5242880, 2880000000000
19600000, 74, 75, 10021, 100, 5242880, 2880000000000
19600000, 74, 75, 10020, 100, 5242880, 2880000000000
19600000, 75, 74, 10021, 100, 5242880, 2880000000000
19600000, 75, 74, 10020, 100, 5242880, 2880000000000
19600000, 76, 77, 10021, 100, 5242880, 2880000000000
19600000, 76, 77, 10020, 100, 5242880, 2880000000000
19600000, 77, 76, 10021, 100, 5242880, 2880000000000
19600000, 77, 76, 10020, 100, 5242880, 2880000000000
19600000, 78, 79, 10021, 100, 5242880, 2880000000000
19600000, 78, 79, 10020, 100, 5242880, 2880000000000
19600000, 79, 78, 10021, 100, 5242880, 2880000000000
19600000, 79, 78, 10020, 100, 5242880, 2880000000000
19600000, 80, 81, 10021, 100, 5242880, 2880000000000
19600000, 80, 81, 10020, 100, 5242880, 2880000000000
19600000, 81, 80, 10021, 100, 5242880, 2880000000000
19600000, 81, 80, 10020, 100, 5242880, 2880000000000
19600000, 82, 83, 10021, 100, 5242880, 2880000000000
19600000, 82, 83, 10020, 100, 5242880, 2880000000000
19600000, 83, 82, 10021, 100, 5242880, 2880000000000
19600000, 83, 82, 10020, 100, 5242880, 2880000000000
19600000, 84, 85, 10021, 100, 5242880, 2880000000000
19600000, 84, 85, 10020, 100, 5242880, 2880000000000
19600000, 85, 84, 10021, 100, 5242880, 2880000000000
19600000, 85, 84, 10020, 100, 5242880, 2880000000000
19600000, 86, 87, 10021, 100, 5242880, 2880000000000
19600000, 86, 87, 10020, 100, 5242880, 2880000000000
19600000, 87, 86, 10021, 100, 5242880, 2880000000000
19600000, 87, 86, 10020, 100, 5242880, 2880000000000
19600000, 88, 89, 10021, 100, 5242880, 2880000000000
19600000, 88, 89, 10020, 100, 5242880, 2880000000000
19600000, 89, 88, 10021, 100, 5242880, 2880000000000
19600000, 89, 88, 10020, 100, 5242880, 2880000000000
19600000, 90, 91, 10021, 100, 5242880, 2880000000000
19600000, 90, 91, 10020, 100, 5242880, 2880000000000
19600000, 91, 90, 10021, 100, 5242880, 2880000000000
19600000, 91, 90, 10020, 100, 5242880, 2880000000000
19600000, 92, 93, 10021, 100, 5242880, 2880000000000
19600000, 92, 93, 10020, 100, 5242880, 2880000000000
19600000, 93, 92, 10021, 100, 5242880, 2880000000000
19600000, 93, 92, 10020, 100, 5242880, 2880000000000
19600000, 94, 95, 10021, 100, 5242880, 2880000000000
19600000, 94, 95, 10020, 100, 5242880, 2880000000000
19600000, 95, 94, 10021, 100, 5242880, 2880000000000
19600000, 95, 94, 10020, 100, 5242880, 2880000000000
19600000, 96, 97, 10021, 100, 5242880, 2880000000000
19600000, 96, 97, 10020, 100, 5242880, 2880000000000
19600000, 97, 96, 10021, 100, 5242880, 2880000000000
19600000, 97, 96, 10020, 100, 5242880, 2880000000000
19600000, 98, 99, 10021, 100, 5242880, 2880000000000
19600000, 98, 99, 10020, 100, 5242880, 2880000000000
19600000, 99, 98, 10021, 100, 5242880, 2880000000000
19600000, 99, 98, 10020, 100, 5242880, 2880000000000
19600000, 100, 101, 10021, 100, 5242880, 2880000000000
19600000, 100, 101, 10020, 100, 5242880, 2880000000000
19600000, 101, 100, 10021, 100, 5242880, 2880000000000
19600000, 101, 100, 10020, 100, 5242880, 2880000000000
19600000, 102, 103, 10021, 100, 5242880, 2880000000000
19600000, 102, 103, 10020, 100, 5242880, 2880000000000
19600000, 103, 102, 10021, 100, 5242880, 2880000000000
19600000, 103, 102, 10020, 100, 5242880, 2880000000000
19600000, 104, 105, 10021, 100, 5242880, 2880000000000
19600000, 104, 105, 10020, 100, 5242880, 2880000000000
19600000, 105, 104, 10021, 100, 5242880, 2880000000000
19600000, 105, 104, 10020, 100, 5242880, 2880000000000
19600000, 106, 107, 10021, 100, 5242880, 2880000000000
19600000, 106, 107, 10020, 100, 5242880, 2880000000000
19600000, 107, 106, 10021, 100, 5242880, 2880000000000
19600000, 107, 106, 10020, 100, 5242880, 2880000000000
19600000, 108, 109, 10021, 100, 5242880, 2880000000000
19600000, 108, 109, 10020, 100, 5242880, 2880000000000
19600000, 109, 108, 10021, 100, 5242880, 2880000000000
19600000, 109, 108, 10020, 100, 5242880, 2880000000000
19600000, 110, 111, 10021, 100, 5242880, 2880000000000
19600000, 110, 111, 10020, 100, 5242880, 2880000000000
19600000, 111, 110, 10021, 100, 5242880, 2880000000000
19600000, 111, 110, 10020, 100, 5242880, 2880000000000
19600000, 112, 113, 10021, 100, 5242880, 2880000000000
19600000, 112, 113, 10020, 100, 5242880, 2880000000000
